"Sr.No.","Book Title","Language","Edition","Author/Editor","ISBN Number","Year","View Details"
"1","ILAKKANAVIYAL OPPIYAL  THOLKAPPIYAMUM BALAVIYAKARANAMUM","Tamil","1","Dr.T.Sathiyaraj","978-81-939766-8-5","2019","Details"
"2","ILAKKANAVIYAL OPPIYAL  THOLKAPPIYAMUM BALAVIYAKARANAMUM","Tamil","1","Dr.T.Sathiyaraj","978-81-939766-9-2","2019","Details"
"3","Perunkarkalam (aivuraikal)","Tamil","1","Dr.G.Balaji","978-81-939766-7-8","2019","Details"
"4","Unico","Tamil","1","N.S.THAMIZHINI","978-81-939766-6-1","2019","Details"
"5","National Level Conference On RECENT TECHNOLOGIES IN COMPUTER SCIENCE AND ITS APPLICATION","English","FIRST","M.RAJESKUMAR, M.SANGEETHA, K.KANNAN, M.AMRITHA","978-81-939766-5-4","2019","Details"
"6","Perunkarkaalat thamizhccamuukam Kiizhiruntu meelelum varalaaru","Tamil","1","Dr.G.Balaji","978-81-939766-4-7","2019","Details"
"7","PANMUGA NOOKKIL SILAPPATHIKAARAM","Tamil","1","DR.K.S.PAULCHANDRAN, DR.M.RAJASEKARAN, DR.P.SIVSSELVAN, DR.M.MUNEESMOORTHY","978-81-939766-3-0","2019","Details"
"8","Sanga Ilakkiya  Katturai  Kathampam","Tamil","1","DR.K.S.PAULCHANDRAN, DR.M.RAJASEKARAN, DR.P.SIVSSELVAN, DR.M.MUNEESMOORTHY","978-81-939766-2-3","2019","Details"
"9","GLOBAL BUSINESS ENVIRONMENT Theories and Cases","English","1","Dr.R.Anuja, Dr.S.Lakshmipriya","978-81-939766-1-6","2018","Details"
"10","Visual Basic","English","1","D.SASIREGA,  A.P CHRISTOPHER AROKIARAJ, J.POORNIMHA","978-81-939766-0-9","2018","Details"
